a52dec 0.7.4-9
aalib 1.4rc5-12
acl 2.2.52-4
adwaita-icon-theme 3.28.0-1
aiksaurus 1.2.1-5
alsa-lib 1.1.6-1
archlinux-keyring 20180404-1
argon2 20171227-3
aspell 0.60.6.1-5
at-spi2-atk 2.26.2-1
at-spi2-core 2.28.0-1
atk 2.28.1-1
attr 2.4.47-3
avahi 0.7+4+gd8d8c67-1
bc 1.07.1-1
bluez 5.49-3
bluez-libs 5.49-3
boost-libs 1.66.0-2
brotli 1.0.4-1
btrfs-progs 4.16-2
ca-certificates 20170307-1
ca-certificates-cacert 20140824-4
ca-certificates-mozilla 3.36.1-1
ca-certificates-utils 20170307-1
cairo-perl 1.106-5
cantarell-fonts 1:0.101-1
cdparanoia 10.2-5
celt 0.11.3-3
chromaprint 1.4.3-1
cifs-utils 6.7-2
colord 1.4.3-1
confuse 3.2.1-1
cracklib 2.9.6-1
curl 7.59.0-2
db 5.3.28-3
dbus 1.12.6-1
dbus-glib 0.110-1
dconf 0.28.0-1
dhclient 4.4.1-4
dkms 2.5-1
dmraid 1.0.0.rc16.3-10
dnssec-anchors 20170711-1
efivar 34-1
enca 1.19-2
enchant 2.2.3-1
expat 2.2.5-1
faac 1.29.9.2-1
faad2 2.8.8-1
ffmpeg 1:3.4.2-2
fftw 3.3.7-1
flac 1.3.2-1
fltk 1.3.4.2-2
fluidsynth 1.1.10-1
freeglut 3.0.0-2
fribidi 1.0.2-1
fuse-common 3.2.2-2
fuse2 2.9.7-4
fuse3 3.2.2-2
gamin 0.1.10-8
gc 7.6.4-1
gcr 3.28.0-3
gd 2.2.5-1
gdbm 1.14.1-1
gdk-pixbuf2 2.36.12-1
gdome2 0.8.1-5
geoclue2 2.4.7-1
ghostscript 9.23-1
giblib 1.2.4-6
giflib 5.1.4-1
girara 0.2.9-2
git 2.17.0-1
glew 2.1.0-1
glib-networking 2.56.0-1
glib-perl 1.326-1
glib2 2.56.1-1
glu 9.0.0-4
gmetadom 0.2.6-6
gmp 6.1.2-1
gnome-icon-theme 3.12.0-4
gnome-icon-theme-symbolic 3.12.0-4
gnupg 2.2.6-1
gnutls 3.5.18-1
gobject-introspection-runtime 1.56.1-1
goffice 0.10.39-1
gpgme 1.11.1-1
gpm 1.20.7-8
graphene 1.8.0-1
graphicsmagick 1.3.29-1
graphite 1:1.3.11-1
gsettings-desktop-schemas 3.28.0+1+g85521dc-1
gsfonts 20170829-1
gsl 2.4-1
gsm 1.0.17-1
gst-plugins-base-libs 1.14.0-1
gstreamer 1.14.0-1
gtk-engine-murrine 0.98.2-3
gtk-engines 2.21.0-3
gtk-update-icon-cache 3.22.30-1
gtk2 2.24.32-1
gtk2-perl 1.24992-1
gtk3 3.22.30-1
gtkmathview 0.8.0-5
guile 2.2.3-1
gxmessage 3.4.3-2
harfbuzz 1.7.6-2
harfbuzz-icu 1.7.6-2
hdparm 9.56-1
hicolor-icon-theme 0.17-1
hidapi 0.8.0rc1-3
hspell 1.4-1
hunspell 1.6.2-1
hwids 20171003-1
hyphen 2.8.8-1
iana-etc 20180221-1
icu 61.1-1
ijs 0.35-1
ilmbase 2.2.1-1
imagemagick 7.0.7.28-1
imlib2 1.5.1-1
iptables 1.6.2-2
iso-codes 3.76-1
iw 4.14-1
jack 0.125.0-3
jansson 2.10-3
jasper 2.0.14-1
jbig2dec 0.14-1
js52 52.7.3-1
json-c 0.13-1
json-glib 1.4.2-2
kbd 2.0.4-1
keyutils 1.5.10-1
kmod 24-1
krb5 1.16-1
ladspa 1.13-6
lame 3.100-1
lasem 0.4.3-3
lash 0.6.0~rc2-12
lcms2 2.9-1
ldb 1.3.2-1
ldns 1.7.0-4
libaio 0.3.111-1
libao 1.2.2-2
libarchive 3.3.2-1
libass 0.14.0-1
libassuan 2.5.1-1
libasyncns 0.8+3+g68cd5af-1
libatasmart 0.19-3
libatomic_ops 7.6.4-1
libavc1394 0.5.4-3
libblockdev 2.16-1
libbluray 1.0.2-1
libbs2b 3.1.0-6
libbytesize 1.2-1
libcaca 0.99.beta19-1
libcanberra 0.30+2+gc0620e4-1
libcap 2.25-1
