abiword 3.0.2-7
acpi 1.7-2
acpi_call-dkms 1.1.0-126
adobe-source-code-pro-fonts 2.030ro+1.050it-4
advancemame 3.7-2
alsa-plugins 1.1.6-1
alsa-utils 1.1.6-1
arandr 0.1.9-2
arch-install-scripts 18-1
aspell-en 2017.08.24-1
atool 0.39.0-5
autoconf 2.69-4
automake 1.15.1-1
bash 4.4.019-1
bash-completion 2.8-1
bashmount 3.2.0-1
binutils 2.30-3
bison 3.0.4-3
blueman 2.0.5-2
bzip2 1.0.6-7
cairo 1.15.12-1
ccid 1.4.29-2
chromium-widevine 1:1.4.9.1076-1
colordiff 1.0.18-1
compton-git 0.1_beta2.87.g316eac0-1
coreutils 8.29-1
cower 17-2
cryptsetup 2.0.2-1
ctags 5.8-5
datamash 1.3-1
desktop-file-utils 0.23+4+g92af410-1
device-mapper 2.02.177-5
dhcpcd 7.0.4-1
diffutils 3.6-1
dmidecode 3.1-2
dnsmasq 2.79-1
dosfstools 4.1-1
dzen2-xft-xpm-xinerama-git r14.488ab66-2
e2fsprogs 1.44.1-1
efibootmgr 15-1
efitools 1.7.0.5.g0649468-1
etckeeper 1.18.7-1
ethtool 1:4.16-1
evrouter 0.4-4
evtest 1.33-3
exfat-utils 1.2.8-1
expac 8-1
fakeroot 1.22-1
feh 2.26-1
file 5.33-1
filesystem 2018.1-2
findutils 4.6.0-2
flex 2.6.4-1
flip 20130224-4
fontconfig 2.13.0+10+g58f5285-1
fprintd 0.8.0-1
freetype2 2.9.1-1
fswebcam 20140113-2
galculator 2.1.4-3
gawk 4.2.1-1
gcc 7.3.1+20180406-1
gcc-libs 7.3.1+20180406-1
gettext 0.19.8.1-2
glances 2.11.1-2
glibc 2.27-2
gnome-colors-revival 0.1.5-3
gnome-icon-theme-extras 3.12.0-4
gnome-keyring 1:3.28.0.2-1
gnome-themes-extra 3.28-1
gnu-netcat 0.7.1-6
gnumeric 1.12.39-1
gpicview 0.2.5-3
gptfdisk 1.0.3-1
grep 3.1-1
groff 1.22.3-7
gsimplecal 2.1-2
gst-libav 1.14.0-1
gst-plugins-bad 1.14.0-2
gst-plugins-base 1.14.0-1
gst-plugins-good 1.14.0-1
gtk-theme-arc-red 20160626-3
gtk2fontsel 0.1-5
guvcview 2.0.5-3
gwakeonlan 0.6.2-5
gzip 1.9-1
hddtemp 0.3.beta15.52-2
herbstluftwm 0.7.0-2
i3-gaps 4.15.0.1-2
i3ipc-python-git r192.1523309517.e55d94e-1
i3lock 2.10-1
i3pystatus-git 3.35.r254.g3efbd56-1
i3status 2.11-3
inetutils 1.9.4-5
inox-bin 66.0.3359.139-1
intel-ucode 20180312-1
inxi 3.0.07-1
iproute2 4.16.0-1
iputils 20161105.1f2bb12-2
jfsutils 1.1.15-4
less 530-1
lesspipe 1.83-1
libbsd 0.8.7-1
libtool 2.4.6+40+g6ca5e224-5
