a52dec 0.7.4-9
acl 2.2.52-4
adwaita-icon-theme 3.24.0-1
aiksaurus 1.2.1-5
alsa-lib 1.1.4.1-1
archlinux-keyring 20170823-1
aspell 0.60.6.1-5
at-spi2-atk 2.24.1-1
at-spi2-core 2.24.1-1
atk 2.24.0-2
attr 2.4.47-3
avahi 0.7-1
bc 1.07.1-1
bluez 5.47-1
bluez-libs 5.47-1
boost-libs 1.64.0-4
btrfs-progs 4.13-1
ca-certificates 20170307-1
ca-certificates-cacert 20140824-4
ca-certificates-mozilla 3.32-1
ca-certificates-utils 20170307-1
cairo-perl 1.106-5
cantarell-fonts 1:0.0.25-3
cifs-utils 6.7-2
compositeproto 0.4.2-3
confuse 3.2.1-1
cracklib 2.9.6-1
curl 7.55.1-2
damageproto 1.2.1-3
db 5.3.28-3
dbus 1.10.22-1
dbus-glib 0.108-1
dconf 0.26.0+1+g701d19d-1
dhclient 4.3.5-2
dkms 2.4.0-2
dmraid 1.0.0.rc16.3-10
dnssec-anchors 20170711-1
efivar 31-1
enca 1.19-1
enchant 1.6.1-2
expat 2.2.4-1
faac 1.29.3-1
faad2 2.8.1-1
ffmpeg 1:3.3.4-1
fftw 3.3.6-2
fixesproto 5.0+9+g4292ec1-1
flac 1.3.2-1
fltk 1.3.4-1
fluidsynth 1.1.6-5
fontsproto 2.1.3-2
freeglut 3.0.0-1
fribidi 0.19.7-1
fuse-common 3.1.1-1
fuse2 2.9.7-3
fuse3 3.1.1-1
gamin 0.1.10-8
gc 7.6.0-1
gcr 3.20.0+45+g4708f35-1
gd 2.2.5-1
gdbm 1.13-1
gdk-pixbuf2 2.36.9-1
gdome2 0.8.1-5
geoclue2 2.4.7-1
ghostscript 9.21-3
giblib 1.2.4-6
giflib 5.1.4-1
girara 0.2.7-1
git 2.14.1-1
glew 2.1.0-1
glib-networking 2.50.0-2
glib-perl 1.324-4
glib2 2.52.3-1
glu 9.0.0-4
gmetadom 0.2.6-6
gmp 6.1.2-1
gnome-icon-theme 3.12.0-4
gnome-icon-theme-symbolic 3.12.0-4
gnupg 2.2.0-1
gnutls 3.5.15-1
gobject-introspection-runtime 1.52.1-1
goffice 0.10.34-1
gpgme 1.9.0-3
gpm 1.20.7-8
graphite 1:1.3.10-1
gsettings-desktop-schemas 3.24.0-1
gsfonts 20170727-1
gsm 1.0.17-1
gst-plugins-base-libs 1.12.2-1
gstreamer 1.12.2-1
gtk-engine-murrine 0.98.2-2
gtk-engines 2.21.0-3
gtk-update-icon-cache 3.22.21-1
gtk2 2.24.31-1
gtk2-perl 1.2498-7
gtk3 3.22.21-1
gtkmathview 0.8.0-5
guile 2.2.2-1
gxmessage 3.4.3-2
harfbuzz 1.5.1-1
harfbuzz-icu 1.5.1-1
hdparm 9.52-1
hicolor-icon-theme 0.15-1
hidapi 0.8.0rc1-2
hspell 1.3-1
hunspell 1.6.2-1
hwids 20170715-1
hyphen 2.8.8-1
iana-etc 20170824-1
icu 59.1-2
ijs 0.35-1
imagemagick 6.9.9.13-1
imlib2 1.4.10-1
inputproto 2.3.2-1
iptables 1.6.1-1
iso-codes 3.75-1
iw 4.9-1
jack 0.125.0-3
jansson 2.10-2
jasper 2.0.13-2
jbig2dec 0.13-1
js 24.2.0-4
json-c 0.12.1-1
json-glib 1.2.8-1
kbd 2.0.4-1
kbproto 1.0.7-1
keyutils 1.5.10-1
kmod 24-1
krb5 1.15.1-1
lame 3.99.5-3
lasem 0.4.3-2
lcms2 2.8-2
ldb 1.1.29-1
ldns 1.7.0-3
libaio 0.3.110-1
libao 1.2.2-1
libarchive 3.3.2-1
libass 0.13.7-1
libassuan 2.4.3-1
libasyncns 0.8+3+g68cd5af-1
libatasmart 0.19-3
libatomic_ops 7.4.6-1
libavc1394 0.5.4-3
libblockdev 2.11-1
libbluray 1.0.1-1
libbytesize 0.11-1
libcaca 0.99.beta19-1
libcap 2.25-1
libcap-ng 0.7.8-1
libcddb 1.3.2-4
libcdio 0.94-2
libcdio-paranoia 10.2+0.94+1-2
libconfig 1.6-2
libcroco 0.6.12+4+g9ad7287-1
libcups 2.2.4-2
libdaemon 0.14-3
libdatrie 0.2.10-2
libdca 0.0.5-5
libdrm 2.4.83-1
libdvdnav 5.0.3-1
libdvdread 5.0.4-1
libedit 20170329_3.1-1
libelf 0.169-2
libepoxy 1.4.3-1
libev 4.24-1
libevdev 1.5.7-1
libevent 2.1.8-1
libffi 3.2.1-2
libfontenc 1.1.3-1
libfprint 0.7.0-1
libgcrypt 1.8.1-1
libglade 2.6.4-5
libglvnd 0.2.999+g4ba53457-2
libgme 0.6.1-1
libgpg-error 1.27-1
libgsf 1.14.41+3+gc7b4b53-1
libgudev 231+1+g0841288-1
